variant_id,model_id,canonical_name,section,product_type,brand,model,variant_name,ram_gb,storage_gb,color,manufacturer_sku,gtin,manufacturer_url,source_status,created_at,updated_at
VAR-49EC656921BC69,MOD-FB9F0F1DF99728,Zanussi ZCG64396XB 4 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Zanussi,ZCG64396XB,4 burners | Stainless Steel,,,Stainless Steel,ZCG64396XB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-2552CBAEA19CF6,MOD-FB9F0F1DF99728,Zanussi ZCG64396XB Freestanding | Stainless Steel,الأجهزة المنزلية,بوتاجازات,Zanussi,ZCG64396XB,Freestanding | Stainless Steel,,,Stainless Steel,ZCG64396XB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-F98F0B4906E625,MOD-90EDC5BCD2E6F0,Zanussi ZCG922A6XB 5 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Zanussi,ZCG922A6XB,5 burners | Stainless Steel,,,Stainless Steel,ZCG922A6XB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-B8B5E7FAE12C81,MOD-90EDC5BCD2E6F0,Zanussi ZCG922A6XB Freestanding | Stainless Steel,الأجهزة المنزلية,بوتاجازات,Zanussi,ZCG922A6XB,Freestanding | Stainless Steel,,,Stainless Steel,ZCG922A6XB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-3E68777D071908,MOD-1A5425903E2604,Zanussi ZCG94396XB 5 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Zanussi,ZCG94396XB,5 burners | Stainless Steel,,,Stainless Steel,ZCG94396XB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-DA01BEABFE393C,MOD-1A5425903E2604,Zanussi ZCG94396XB Freestanding | Stainless Steel,الأجهزة المنزلية,بوتاجازات,Zanussi,ZCG94396XB,Freestanding | Stainless Steel,,,Stainless Steel,ZCG94396XB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-6B59B402C4FA84,MOD-A1EED420FFD53B,Beko RCNE367E30ZXB 367 L | Freestanding | Silver | 367L,الأجهزة المنزلية,ثلاجات,Beko,RCNE367E30ZXB,367 L | Freestanding | Silver,,,Silver,RCNE367E30ZXB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-F0559A65805F9F,MOD-1A23C621DFB4EB,Beko RDNE420KDB 390 L | Freestanding | Silver | 390L,الأجهزة المنزلية,ثلاجات,Beko,RDNE420KDB,390 L | Freestanding | Silver,,,Silver,RDNE420KDB,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-FCCA8F24C270C7,MOD-CAC94E6B5BFCB3,Beko RDNE455M20XBIDS 406 L | Freestanding | Inverter | Silver | 406L,الأجهزة المنزلية,ثلاجات,Beko,RDNE455M20XBIDS,406 L | Freestanding | Inverter | Silver,,,Silver,RDNE455M20XBIDS,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-F4900E6443B00D,MOD-AB06EEC870F7EF,Beko RDNE455M20XBIDTEWEG 455 L | Freestanding | Inverter | Black | 455L,الأجهزة المنزلية,ثلاجات,Beko,RDNE455M20XBIDTEWEG,455 L | Freestanding | Inverter | Black,,,Black,RDNE455M20XBIDTEWEG,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-A72EC8DE74F9FB,MOD-9EE8545070F6EF,Beko RDNE455MK 430 L | Freestanding | Silver | 430L,الأجهزة المنزلية,ثلاجات,Beko,RDNE455MK,430 L | Freestanding | Silver,,,Silver,RDNE455MK,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-2250E92B3EA7B2,MOD-00534B17B8D00B,Bosch KDN43NL2E8 328 L | Freestanding | Stainless Steel | 328L,الأجهزة المنزلية,ثلاجات,Bosch,KDN43NL2E8,328 L | Freestanding | Stainless Steel,,,Stainless Steel,KDN43NL2E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-3127394F66C4AC,MOD-00534B17B8D00B,Bosch KDN43NL2E8 328L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Bosch,KDN43NL2E8,328L | Stainless Steel,,,Stainless Steel,KDN43NL2E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-15FFEA585C2109,MOD-782030A40BDB81,Bosch KDN43VL2E8 328 L | Freestanding | Stainless Steel | 328L,الأجهزة المنزلية,ثلاجات,Bosch,KDN43VL2E8,328 L | Freestanding | Stainless Steel,,,Stainless Steel,KDN43VL2E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-EDC8A4D32EF7AF,MOD-782030A40BDB81,Bosch KDN43VL2E8 328L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Bosch,KDN43VL2E8,328L | Stainless Steel,,,Stainless Steel,KDN43VL2E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-D5C0AEEA51B365,MOD-0CF5880D148D0C,Bosch KDN47NLEE8 413L / Silver,الأجهزة المنزلية,ثلاجات,Bosch,KDN47NLEE8,413L | Silver,,,Silver,KDN47NLEE8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-EB364A13601F6D,MOD-69ED186349B163,Bosch KDN55NL2E8 453L / Inox,الأجهزة المنزلية,ثلاجات,Bosch,KDN55NL2E8,453L | Inox,,,Inox,KDN55NL2E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-A2AECF322F82AD,MOD-3F1BECE290246D,Bosch KDN76XI3E8 542 L | Freestanding | Silver | 542L,الأجهزة المنزلية,ثلاجات,Bosch,KDN76XI3E8,542 L | Freestanding | Silver,,,Silver,KDN76XI3E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-E84AE7B0811682,MOD-809322E5FA61C8,Bosch KDN76XI3E8 542L / Silver,الأجهزة المنزلية,ثلاجات,Bosch,KDN76XI3E8,542L | Silver,,,Silver,KDN76XI3E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-35E7336954485D,MOD-7F489939DF092C,Bosch KDN86AI3E9 641 L | Freestanding | Stainless Steel | 641L,الأجهزة المنزلية,ثلاجات,Bosch,KDN86AI3E9,641 L | Freestanding | Stainless Steel,,,Stainless Steel,KDN86AI3E9,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-540597722CDA65,MOD-6104D8FC844EF7,Bosch KDN86AI3E9 641L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Bosch,KDN86AI3E9,641L | Stainless Steel,,,Stainless Steel,KDN86AI3E9,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-0E1F959A104F17,MOD-ECE60A054672CB,Bosch KGN39NLEE8 330L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Bosch,KGN39NLEE8,330L | Stainless Steel,,,Stainless Steel,KGN39NLEE8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-3E022EE76F5F5A,MOD-0870B733C52C48,Bosch KGN55VI2E9 483L / Silver,الأجهزة المنزلية,ثلاجات,Bosch,KGN55VI2E9,483L | Silver,,,Silver,KGN55VI2E9,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-5FA8335C3FB7B3,MOD-217823005AA441,Bosch KGN56CX30U 505 L | Freestanding | Inox | 505L,الأجهزة المنزلية,ثلاجات,Bosch,KGN56CX30U,505 L | Freestanding | Inox,,,Inox,KGN56CX30U,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-6B3D1AFD5AC46A,MOD-98575997E68B9A,Bosch KGN56CX30U 505L / Black Inox,الأجهزة المنزلية,ثلاجات,Bosch,KGN56CX30U,505L | Black Inox,,,Black Inox,KGN56CX30U,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-D52D21AB6976C0,MOD-05C6CA147450B3,Bosch KGN56LB3E9 508L / Black,الأجهزة المنزلية,ثلاجات,Bosch,KGN56LB3E9,508L | Black,,,Black,KGN56LB3E9,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-49F2BB364FB454,MOD-0077CA4FF9CB36,Bosch KGN76CI3E8 526L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Bosch,KGN76CI3E8,526L | Stainless Steel,,,Stainless Steel,KGN76CI3E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-28EB7EAFF079D5,MOD-BE78391DA47805,Bosch KGN86CI3E8 631L / Silver,الأجهزة المنزلية,ثلاجات,Bosch,KGN86CI3E8,631L | Silver,,,Silver,KGN86CI3E8,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-648D046618FC16,MOD-E553026DDEDABD,Bosch KSV36VL30U 346L / Silver,الأجهزة المنزلية,ثلاجات,Bosch,KSV36VL30U,346L | Silver,,,Silver,KSV36VL30U,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
